product,product_label,link,x_col,y_col,week_min,week_max,overlap_weeks,continuity_share,x_raw_support_share,y_raw_support_share,mapping_type,interpolation_dominant_flag,admissibility_status
other,Other,FarmGate -> Retail (Silpo),farmgate_combined_linear_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
other,Other,FarmGate -> Retail combined,farmgate_combined_linear_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,10,0.8,1.0,1.0,inferred,0,unusable
other,Other,Retail (Novus) -> FarmGate,novus_category_baseline_weekly,farmgate_combined_linear_weekly,2025-11-03,2026-01-05,5,0.4,1.0,1.0,inferred,0,unusable
other,Other,Retail (Silpo) -> FarmGate,silpo_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
other,Other,Retail combined -> FarmGate,retail_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2026-01-05,10,0.8,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,FarmGate -> Procurement,farmgate_combined_linear_weekly,prozorro_weekly,2025-04-14,2026-01-05,39,1.0,1.0,1.0,inferred,0,weak_extension
sour_cream,Sour cream,FarmGate -> Producer,farmgate_combined_linear_weekly,producer_linear_weekly,2021-12-27,2026-01-12,212,1.0,1.0,1.0,inferred,0,acceptable
sour_cream,Sour cream,FarmGate -> Retail (Novus),farmgate_combined_linear_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,FarmGate -> Retail (Silpo),farmgate_combined_linear_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,FarmGate -> Retail combined,farmgate_combined_linear_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,Procurement -> Retail (Novus),prozorro_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Procurement -> Retail (Silpo),prozorro_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
