retailer,item_key,product,brand_norm,canonical_name,n_strict_keys,fat_pct,pack_std,pack_std_unit,first_title,first_name,n_rows,date_min,date_max
Novus,cheese|bleu|auvergne sancy який голубою пліснявою,cheese,bleu,auvergne sancy який голубою пліснявою,1,50.0,0.125,kg,Сир Bleu d'Auvergne Sancy м'який з голубою пліснявою 50% 125г,Сир d'Auvergne Sancy м'який з голубою пліснявою,1,2025-11-04,2025-11-04
Novus,cheese|bons|mayennais брі,cheese,bons,mayennais брі,1,50.0,,,Сир Bons Mayennais Брі 50%,Сир Mayennais Брі,1,2025-11-04,2025-11-04
Novus,cheese|bons|mayennais камамбер,cheese,bons,mayennais камамбер,1,48.0,0.25,kg,Сир Bons Mayennais Камамбер 48% 250г,Сир Mayennais Камамбер,1,2025-11-04,2025-11-04
Novus,cheese|brazzale|гран моравія твердий типу пармезан,cheese,brazzale,гран моравія твердий типу пармезан,1,32.0,,,Сир Brazzale Гран Моравія твердий типу пармезан 32%,Сир Гран Моравія твердий типу пармезан,1,2025-11-04,2025-11-04
Novus,cheese|briette|chai style,cheese,briette,chai style,1,60.0,0.125,kg,Сир Briette Chai Style 60% 125г,Сир Chai Style,1,2025-11-04,2025-11-04
Novus,cheese|briette|creamy blue,cheese,briette,creamy blue,1,60.0,0.125,kg,Сир Briette Creamy & Blue 60% 125г,Сир Creamy & Blue,1,2026-01-08,2026-01-08
Novus,cheese|briette|creamy buttery red,cheese,briette,creamy buttery red,1,60.0,0.125,kg,Сир Briette Creamy & Buttery Red 60% 125г,Сир Creamy & Buttery Red,1,2025-11-04,2025-11-04
Novus,cheese|briette|creamy mild,cheese,briette,creamy mild,1,60.0,0.125,kg,Сир Briette Creamy & Mild 60% 125г,Сир Creamy & Mild,1,2025-11-04,2025-11-04
Novus,cheese|briette|dulce de leche,cheese,briette,dulce de leche,1,,0.125,kg,Сир Briette Dulce de Leche 125г,Сир Dulce de Leche,1,2025-11-04,2025-11-04
Novus,cheese|briette|smoky,cheese,briette,smoky,1,60.0,0.125,kg,Сир Briette Smoky 60% 125г,Сир Smoky,1,2025-11-04,2025-11-04
Novus,cheese|briette|tropical,cheese,briette,tropical,1,60.0,0.125,kg,Сир Briette Tropical 60% 125г,Сир Tropical,1,2025-11-04,2025-11-04
Novus,cheese|cantorel|geant камамбер,cheese,cantorel,geant камамбер,1,60.0,,,Сир Cantorel Cantorel Geant Камамбер 60%,Сир Cantorel Geant Камамбер,1,2025-11-04,2025-11-04
Novus,cheese|cantorel|брі,cheese,cantorel,брі,1,60.0,,,Сир Cantorel Брі 60%,Сир Брі,1,2025-12-01,2025-12-01
