date,product,consumer_linear,consumer_pchip
2023-11-27,sour_cream,132.0064600584681,132.0064600584681
2023-11-28,sour_cream,131.8176400389787,131.8786564214082
2023-11-29,sour_cream,131.6288200194894,131.6249727713554
2023-11-30,sour_cream,131.44,131.44
2023-12-01,sour_cream,131.3864182915534,131.3748541291499
2023-12-02,sour_cream,131.3328365831068,131.334170809694
2023-12-03,sour_cream,131.2792548746602,131.2928203769445
2023-12-04,sour_cream,131.2256731662136,131.2256731662136
2023-12-05,sour_cream,130.8232489350976,131.0583534710334
2023-12-06,sour_cream,130.4208247039816,130.7559320954368
2023-12-07,sour_cream,130.0184004728656,130.3524491404865
2023-12-08,sour_cream,129.6159762417496,129.8819447072451
2023-12-09,sour_cream,129.2135520106335,129.3784588967754
2023-12-10,sour_cream,128.8111277795176,128.8760318101399
2023-12-11,sour_cream,128.4087035484015,128.4087035484015
2023-12-12,sour_cream,127.9271864487814,127.9786380226471
2023-12-13,sour_cream,127.4456693491612,127.555624665831
2023-12-14,sour_cream,126.964152249541,127.125141861817
2023-12-15,sour_cream,126.4826351499208,126.6726679944691
2023-12-16,sour_cream,126.0011180503007,126.1836814476511
2023-12-17,sour_cream,125.5196009506805,125.6436606052269
2023-12-18,sour_cream,125.0380838510603,125.0380838510603
2023-12-19,sour_cream,124.0697542895967,124.2570922992332
2023-12-20,sour_cream,123.101424728133,123.2614071706638
2023-12-21,sour_cream,122.1330951666693,122.14237700947
2023-12-22,sour_cream,121.1647656052057,120.9913503597701
2023-12-23,sour_cream,120.196436043742,119.8996757656822
2023-12-24,sour_cream,119.2281064822784,118.9587017713243
2023-12-25,sour_cream,118.2597769208147,118.2597769208147
2023-12-26,sour_cream,117.8781835085251,117.7395667679012
2023-12-27,sour_cream,117.4965900962355,117.2714733678556
2023-12-28,sour_cream,117.1149966839459,116.851950017082
2023-12-29,sour_cream,116.7334032716563,116.4774500119843
2023-12-30,sour_cream,116.3518098593667,116.1444266489666
2023-12-31,sour_cream,115.970216447077,115.849333224433
2024-01-01,sour_cream,115.5886230347874,115.5886230347874
2024-01-02,sour_cream,115.408529044559,115.3680827569935
2024-01-03,sour_cream,115.2284350543307,115.1859095479291
2024-01-04,sour_cream,115.0483410641023,115.0271724238696
2024-01-05,sour_cream,114.8682470738739,114.8769404010904
2024-01-06,sour_cream,114.6881530836455,114.7202824958669
2024-01-07,sour_cream,114.5080590934171,114.5422677244746
2024-01-08,sour_cream,114.3279651031888,114.3279651031888
2024-01-09,sour_cream,113.9796675590442,114.0650602273549
2024-01-10,sour_cream,113.6313700148996,113.7576208092632
2024-01-11,sour_cream,113.283072470755,113.4152890406062
2024-01-12,sour_cream,112.9347749266104,113.0477071130765
2024-01-13,sour_cream,112.5864773824658,112.6645172183666
2024-01-14,sour_cream,112.2381798383212,112.2753615481691
2024-01-15,sour_cream,111.8898822941766,111.8898822941766
2024-01-16,sour_cream,111.4707957990006,111.4733790597709
2024-01-17,sour_cream,111.0517093038246,111.0050922970825
2024-01-18,sour_cream,110.6326228086486,110.5155754709268
2024-01-19,sour_cream,110.2135363134725,110.0353820461196
2024-01-20,sour_cream,109.7944498182965,109.5950654874765
2024-01-21,sour_cream,109.3753633231205,109.2251792598129
2024-01-22,sour_cream,108.9562768279445,108.9562768279445
2024-01-23,sour_cream,108.8177497274688,108.7830287402831
2024-01-24,sour_cream,108.679222626993,108.6630559247882
2024-01-25,sour_cream,108.5406955265173,108.5713374155971
2024-01-26,sour_cream,108.4021684260415,108.4828522468469
2024-01-27,sour_cream,108.2636413255658,108.372579452675
