dataset,raw_product,standardized_product,mapping_basis,mapping_type,ambiguity_flag,n_rows
Prozorro,2025-09-24 00:00:00,other,procurement profile plus tender title,approximate,1,53
Prozorro,2025-09-25 00:00:00,other,procurement profile plus tender title,approximate,1,75
Prozorro,2025-09-26 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-09-27 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-09-28 00:00:00,other,procurement profile plus tender title,approximate,1,11
Prozorro,2025-09-29 00:00:00,other,procurement profile plus tender title,approximate,1,53
Prozorro,2025-09-30 00:00:00,other,procurement profile plus tender title,approximate,1,49
Prozorro,2025-10-01 00:00:00,other,procurement profile plus tender title,approximate,1,38
Prozorro,2025-10-02 00:00:00,other,procurement profile plus tender title,approximate,1,58
Prozorro,2025-10-03 00:00:00,other,procurement profile plus tender title,approximate,1,61
Prozorro,2025-10-04 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-10-05 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-10-06 00:00:00,other,procurement profile plus tender title,approximate,1,72
Prozorro,2025-10-07 00:00:00,other,procurement profile plus tender title,approximate,1,77
Prozorro,2025-10-08 00:00:00,other,procurement profile plus tender title,approximate,1,68
Prozorro,2025-10-09 00:00:00,other,procurement profile plus tender title,approximate,1,76
Prozorro,2025-10-10 00:00:00,other,procurement profile plus tender title,approximate,1,62
Prozorro,2025-10-11 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-10-12 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-10-13 00:00:00,other,procurement profile plus tender title,approximate,1,53
Prozorro,2025-10-14 00:00:00,other,procurement profile plus tender title,approximate,1,81
Prozorro,2025-10-15 00:00:00,other,procurement profile plus tender title,approximate,1,79
Prozorro,2025-10-16 00:00:00,other,procurement profile plus tender title,approximate,1,59
Prozorro,2025-10-17 00:00:00,other,procurement profile plus tender title,approximate,1,62
Prozorro,2025-10-19 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-10-20 00:00:00,other,procurement profile plus tender title,approximate,1,68
Prozorro,2025-10-21 00:00:00,other,procurement profile plus tender title,approximate,1,85
Prozorro,2025-10-22 00:00:00,other,procurement profile plus tender title,approximate,1,69
Prozorro,2025-10-23 00:00:00,other,procurement profile plus tender title,approximate,1,56
Prozorro,2025-10-24 00:00:00,other,procurement profile plus tender title,approximate,1,59
Prozorro,2025-10-25 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-10-26 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-10-27 00:00:00,other,procurement profile plus tender title,approximate,1,78
Prozorro,2025-10-28 00:00:00,other,procurement profile plus tender title,approximate,1,94
Prozorro,2025-10-29 00:00:00,other,procurement profile plus tender title,approximate,1,78
