week,standardized_type,series_name,layer,price_usd,n_obs,discount_share
2022-03-29,cream,Producer_UA,upstream,21.901081928472514,7,
2022-03-29,hard_cheese,Producer_UA,upstream,41.58516440120688,7,
2022-03-29,milk,Producer_UA,upstream,5.890232395596532,14,
2022-03-29,sour_cream,Producer_UA,upstream,15.851943608619298,7,
2022-04-05,butter,Producer_UA,upstream,40.761266066782134,7,
2022-04-05,cream,Producer_UA,upstream,22.240253006261025,7,
2022-04-05,hard_cheese,Producer_UA,upstream,41.436138204984445,7,
2022-04-05,milk,Producer_UA,upstream,5.975517281116846,14,
2022-04-05,sour_cream,Producer_UA,upstream,15.878232312668176,7,
2022-04-12,butter,Producer_UA,upstream,40.84719919346752,7,
2022-04-12,cream,Producer_UA,upstream,22.266398715629485,7,
2022-04-12,hard_cheese,Producer_UA,upstream,41.09872748752134,7,
2022-04-12,milk,Producer_UA,upstream,6.061538772649695,14,
2022-04-12,sour_cream,Producer_UA,upstream,15.989265833078397,7,
2022-04-19,butter,Producer_UA,upstream,40.6815257783383,7,
2022-04-19,cream,Producer_UA,upstream,22.39575619334645,7,
2022-04-19,hard_cheese,Producer_UA,upstream,41.067425383836714,7,
2022-04-19,milk,Producer_UA,upstream,6.182816218576342,14,
2022-04-19,sour_cream,Producer_UA,upstream,16.27380459001034,7,
2022-04-26,butter,Producer_UA,upstream,35.59692018056241,7,
2022-04-26,cream,Producer_UA,upstream,19.98329760314314,7,
2022-04-26,hard_cheese,Producer_UA,upstream,35.94535250716147,7,
2022-04-26,milk,Producer_UA,upstream,5.227262524227774,14,
2022-04-26,sour_cream,Producer_UA,upstream,13.915659445602651,7,
2022-05-03,butter,Producer_UA,upstream,32.07205816605205,7,
2022-05-03,cream,Producer_UA,upstream,18.252258194210537,7,
2022-05-03,hard_cheese,Producer_UA,upstream,32.59704863829277,7,
2022-05-03,milk,Producer_UA,upstream,4.599499152884192,14,
2022-05-03,sour_cream,Producer_UA,upstream,12.360210080494483,7,
2022-05-10,butter,Producer_UA,upstream,32.49007297256934,7,
2022-05-10,cream,Producer_UA,upstream,18.49897696843873,7,
2022-05-10,hard_cheese,Producer_UA,upstream,32.82239047638797,7,
2022-05-10,milk,Producer_UA,upstream,4.9119461677463,14,
2022-05-10,sour_cream,Producer_UA,upstream,12.910740280724186,7,
2022-05-17,butter,Producer_UA,upstream,32.8903934202303,7,
2022-05-17,cream,Producer_UA,upstream,18.622674438929092,7,
2022-05-17,hard_cheese,Producer_UA,upstream,32.562068877269084,7,
2022-05-17,milk,Producer_UA,upstream,5.025736652231762,14,
2022-05-17,sour_cream,Producer_UA,upstream,13.155552587624678,7,
2022-05-24,butter,Producer_UA,upstream,33.575554952876765,7,
2022-05-24,cream,Producer_UA,upstream,18.730179007769276,7,
2022-05-24,hard_cheese,Producer_UA,upstream,32.94241927836102,7,
2022-05-24,milk,Producer_UA,upstream,5.0659002194541625,14,
2022-05-24,sour_cream,Producer_UA,upstream,13.318520296108602,7,
2022-05-31,butter,Producer_UA,upstream,38.56487166434793,7,
2022-05-31,cream,Producer_UA,upstream,21.02491796424432,7,
2022-05-31,hard_cheese,Producer_UA,upstream,38.312618848576165,7,
2022-05-31,milk,Producer_UA,upstream,5.642428899160715,14,
2022-05-31,sour_cream,Producer_UA,upstream,14.914844615377183,7,
2022-06-07,butter,Producer_UA,upstream,40.83777704330563,7,
2022-06-07,cream,Producer_UA,upstream,22.55614742693171,7,
2022-06-07,hard_cheese,Producer_UA,upstream,40.71111938452651,7,
2022-06-07,milk,Producer_UA,upstream,6.1305209756868715,14,
2022-06-07,sour_cream,Producer_UA,upstream,15.989518891399436,7,
2022-06-14,butter,Producer_UA,upstream,40.23808389344107,7,
2022-06-14,cream,Producer_UA,upstream,22.579185975714385,7,
2022-06-14,hard_cheese,Producer_UA,upstream,40.29364380602982,7,
2022-06-14,milk,Producer_UA,upstream,6.265670781198203,14,
2022-06-14,sour_cream,Producer_UA,upstream,16.168288361368354,7,
2022-06-21,butter,Producer_UA,upstream,40.76683088357681,7,
2022-06-21,cream,Producer_UA,upstream,22.71090715884012,7,
