model,product,product_label,link,link_direction,price_variant,farm_gate_source,reconstruction_variant,horizon_days,n_obs,coef,pvalue,stderr,r2,core_signal,ljungbox_p,arch_p,jb_p,coef_positive_shock,p_positive_shock,coef_negative_shock_abs,p_negative_shock_abs,asymmetry_pvalue,asymmetry_gap
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,1,1475,3.1813890981976773,1.646937766018314e-44,0.22730562155879025,0.8328720538900068,1,1.7311724635575627e-31,4.1426885139755e-12,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,1,1475,,,,0.8330058027554554,1,1.9492038971571437e-31,3.928625771189475e-12,0.0,3.2408458974825143,3.074801112454502e-33,-3.0775092552231254,2.814261574971898e-38,1.3206170667890669e-49,6.31835515270564
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,3,1473,5.450614698099982,1.3764310402142044e-19,0.6020022097471872,0.7020502065258525,1,1.795633498060703e-182,6.3390197297123585e-77,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,3,1473,,,,0.7028360361894754,1,1.336185271839576e-182,1.008595803468797e-74,0.0,5.723265326928509,3.769394647896467e-12,-4.972939613625676,2.33743709346271e-17,3.36283576834686e-26,10.696204940554185
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,7,1469,7.417230454109527,6.299156987899702e-10,1.199663877993473,0.48568835405516897,1,0.0,7.161872577954184e-174,0.0,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,7,1469,,,,0.48665280136697964,1,0.0,1.0978455714945812e-169,0.0,7.9654511959941665,1.0450356627025685e-08,-6.455467657351094,3.6136348453078525e-06,3.136803685867344e-11,14.42091885334526
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,14,1462,7.150913535119567,6.515894313050768e-07,1.4372934284983583,0.29005521968966474,1,0.0,2.6493700806123053e-244,2.8536549751270764e-142,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,14,1462,,,,0.29297749959848685,1,0.0,2.3751181271044833e-242,9.50602292941187e-140,8.691835008790216,1.9320869328884167e-07,-4.400768330529414,0.09945826668148192,3.1027651890665446e-06,13.09260333931963
LP_linear,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,21,1455,6.629159788946451,0.00015004981331808798,1.7486632905845116,0.2337037994959692,1,0.0,1.3644736732710539e-254,4.800947782798469e-16,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProducerUA,forward,processor_price,filled,linear,21,1455,,,,0.23791939105327686,1,0.0,3.4579940955949766e-251,4.113582475006166e-14,9.007544564254244,1.2143567653118686e-05,-2.2535892494447456,0.5874619543569553,0.003414040495369498,11.26113381369899
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,filled,linear,0,268,-2.2316890927441504,0.836280190844106,10.799164608055525,0.15072705231530115,0,2.251657361177245e-05,0.006046490194725371,4.045688581388878e-17,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,filled,linear,0,268,,,,0.1521545588362916,0,2.2001784680055102e-05,0.0077585556633437405,1.4639252748595123e-18,5.653886549134457,0.6954930446158798,6.24579866115802,0.6630809617109182,0.9773122463496182,-0.5919121120235626
LP_linear,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,filled,linear,1,267,-5.220197744314995,0.6366472535466546,11.05057126501695,0.22509374065941812,0,1.023765703873648e-14,0.03684710950207574,9.5145639927341e-11,,,,,,
LP_asymmetric,butter,Butter,FarmGateUA -> ProZorro,forward,procurement_price,filled,linear,1,267,,,,0.22722148224168348,0,7.55451944864472e-15,0.03191465054940573,7.309268893681078e-11,5.420182214890271,0.7685452045152783,10.637210190797889,0.4720231163575256,0.8199648172353261,-5.217027975907618
