product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
milk,Drinking milk / fermented milk,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,72,0.34355406805314487,0.3565082633816332,0.18027358734647334,1.4099497536602288,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,producer_farmgate,ProducerUA / FarmGateUA,initial,pchip,1478,0.8307346388591824,0.8402639915658636,0.07829606067683532,2.2950041203243154,2021-12-30,2026-01-15
milk,Drinking milk / fermented milk,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,72,1.174829024552138,1.1667829123180133,0.16990504359929443,3.2375893482248745,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,72,1.2180195091790966,1.2162162077101886,0.1682609358325783,3.380486077880577,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,producer_farmgate,ProducerUA / FarmGateUA,filled,pchip,1478,1.0701240936173624,1.0640202892663941,0.07533186121217836,2.9157413024133554,2021-12-30,2026-01-15
milk,Drinking milk / fermented milk,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,72,1.4504569991298637,1.4499234693427097,0.16387575511267538,4.265063200032487,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,72,1.4936474837568228,1.5077681071447795,0.1655142924588245,4.4533093046206735,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,procurement_producer,ProZorro / ProducerUA,not_applicable,pchip,270,0.10683836723834518,0.09929435807554765,0.1178704471824037,1.1127543823792376,2025-04-14,2026-01-08
milk,Drinking milk / fermented milk,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,72,0.3003635834261861,0.3094837003922499,0.17873838404240702,1.3503496830978234,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,72,0.34355406805314487,0.3565082633816332,0.18027358734647334,1.4099497536602288,2025-10-21,2026-01-08
milk,Drinking milk / fermented milk,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,72,0.32765072597359457,0.32306877073733076,0.14179949965948072,1.3877041986020064,2025-10-21,2026-01-08
