link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,3,36,9,2,5.976359825853519,8.001757985890693,33.284977334781686,0.3333333333333333,0.3333333333333333,56.0
Novus -> ProZorro,reverse,novus_observed,3,8,4,2,0.9473293417110203,-0.018665071677432976,1.0729190636136325,0.5,0.25,40.5
ProZorro -> Novus,forward,novus_observed,3,6,3,2,0.3766727695950857,0.40332964814745864,0.3766727695950857,0.3333333333333333,0.0,42.0
ProZorro -> ProducerUA,reverse,processor_price,3,10,5,2,0.0010122951584861108,-0.00013939193644908082,0.007395094200195615,0.0,0.0,268.0
ProZorro -> Retail,forward,retail_baseline,3,12,6,2,0.1613530694351439,0.12159146530829287,0.16243030670577632,0.16666666666666666,0.16666666666666666,57.5
ProZorro -> Retail,forward,retail_observed,3,12,6,2,0.18242317492736845,0.15125803589990977,0.18576047621144678,0.16666666666666666,0.16666666666666666,57.5
ProZorro -> Retail matched,forward,retail_matched_baseline,3,12,6,2,0.10116148057626421,0.05679284695893286,0.17551222174696954,0.16666666666666666,0.16666666666666666,48.5
ProZorro -> Retail matched,forward,retail_matched_observed,3,12,6,2,0.1481004322061327,0.08411608626744194,0.20987749716882834,0.0,0.0,48.5
ProZorro -> Retail optimal,forward,retail_optimal_baseline,3,12,6,2,0.1613530694351439,0.12159146530829287,0.16243030670577632,0.16666666666666666,0.16666666666666666,57.5
ProZorro -> Retail optimal,forward,retail_optimal_observed,3,12,6,2,0.18242317492736845,0.15125803589990977,0.18576047621144678,0.16666666666666666,0.16666666666666666,57.5
ProZorro -> Silpo,forward,silpo_baseline,3,12,6,2,-0.0017140673422498954,-0.0018473806947873423,0.020622920802714644,0.0,0.0,44.0
ProZorro -> Silpo,forward,silpo_observed,3,12,6,2,0.02905281444561532,0.021501847617010024,0.03243705397950324,0.0,0.0,44.0
ProducerUA -> FarmGateUA,reverse,processor_price,3,20,5,2,2.7400200184032792,2.3149404530343665,2.7400200184032797,1.0,1.0,1473.0
ProducerUA -> ProZorro,forward,procurement_price,3,10,5,2,2.8267514775192772,4.7932047590936335,8.94888100414777,0.0,0.0,265.0
Retail -> FarmGateUA,reverse,retail_observed,3,36,9,2,0.0017892977171238616,0.0014006886302393219,0.0024301398597226342,0.027777777777777776,0.027777777777777776,60.0
Retail -> ProZorro,reverse,retail_baseline,3,12,6,2,-0.08724832574008747,0.0049067494048907374,0.13178523912981946,0.0,0.0,61.5
Retail -> ProZorro,reverse,retail_observed,3,12,6,2,-0.12368867635229608,-0.06654953782739974,0.13341886574318051,0.0,0.0,61.5
Retail matched -> ProZorro,reverse,retail_matched_baseline,3,12,6,2,0.040049504086525724,0.012527468337397096,0.13543027040469488,0.16666666666666666,0.16666666666666666,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,3,12,6,2,0.0753902699709786,0.02648188018021507,0.13341432416374913,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,3,36,9,2,0.0016429291200925188,0.0010932860191654624,0.0023172823986688787,0.027777777777777776,0.027777777777777776,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,3,12,6,2,-0.08724832574008747,0.0049067494048907374,0.13178523912981946,0.0,0.0,61.5
Retail optimal -> ProZorro,reverse,retail_optimal_observed,3,12,6,2,-0.12368867635229608,-0.06654953782739974,0.13341886574318051,0.0,0.0,61.5
Silpo -> ProZorro,reverse,silpo_baseline,3,12,6,2,-0.11544969517839791,-0.07454341907517685,0.38829342183859666,0.0,0.0,47.0
Silpo -> ProZorro,reverse,silpo_observed,3,12,6,2,-0.24567034890002235,-0.21230187757693503,0.27810497409004326,0.0,0.0,47.0
FarmGateUA -> ProZorro,forward,procurement_price,7,28,7,2,0.6616428348841142,-2.377764038402074,10.652950723180192,0.0,0.0,261.0
FarmGateUA -> ProducerUA,forward,processor_price,7,20,5,2,5.180959171094707,4.642518402494709,5.180959171094706,1.0,1.0,1469.0
FarmGateUA -> Retail,forward,retail_observed,7,36,9,2,-7.937026987932594,0.7456947439716153,63.47828563533744,0.3611111111111111,0.3611111111111111,55.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,7,36,9,2,-13.701296297208593,0.7456947439716153,69.24255494461343,0.3055555555555556,0.3055555555555556,55.0
Novus -> ProZorro,reverse,novus_observed,7,8,4,2,-0.5151904105149383,-0.018484839625843078,0.5151904105149384,0.0,0.0,40.5
ProZorro -> Novus,forward,novus_observed,7,6,3,2,-0.3697876209762456,0.008199192798142275,0.5332760764830883,0.3333333333333333,0.3333333333333333,42.0
ProZorro -> ProducerUA,reverse,processor_price,7,10,5,2,-0.009836618937000682,-0.0016904802288356204,0.011790412151914705,0.0,0.0,268.0
ProZorro -> Retail,forward,retail_baseline,7,12,6,2,-0.17484840722502581,-0.05076698541970807,0.21414289341393763,0.16666666666666666,0.16666666666666666,57.0
ProZorro -> Retail,forward,retail_observed,7,12,6,2,-0.18782396802091764,-0.06270499459731028,0.22214233440345157,0.16666666666666666,0.16666666666666666,57.0
ProZorro -> Retail matched,forward,retail_matched_baseline,7,12,6,2,-0.1890250178757682,-0.05458341799911265,0.25497492063985217,0.16666666666666666,0.16666666666666666,48.0
ProZorro -> Retail matched,forward,retail_matched_observed,7,12,6,2,-0.20649625336571387,-0.05232124593140921,0.28207123758602076,0.16666666666666666,0.16666666666666666,48.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,7,12,6,2,-0.17484840722502581,-0.05076698541970807,0.21414289341393763,0.16666666666666666,0.16666666666666666,57.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,7,12,6,2,-0.18782396802091764,-0.06270499459731028,0.22214233440345157,0.16666666666666666,0.16666666666666666,57.0
ProZorro -> Silpo,forward,silpo_baseline,7,12,6,2,-0.008469490970133109,-0.010956501436047763,0.0675237762778652,0.5,0.5,42.0
ProZorro -> Silpo,forward,silpo_observed,7,12,6,2,-0.022290118892434114,-0.03640258862376872,0.0679133571744655,0.3333333333333333,0.3333333333333333,42.0
ProducerUA -> FarmGateUA,reverse,processor_price,7,20,5,2,3.7443416001658334,3.2383193558209857,3.7443416001658334,1.0,1.0,1469.0
ProducerUA -> ProZorro,forward,procurement_price,7,10,5,2,0.5820027226118569,1.6183960014541554,8.7086724566649,0.2,0.2,261.0
Retail -> FarmGateUA,reverse,retail_observed,7,36,9,2,0.005180775124082715,0.002510418187363305,0.00760853242119462,0.1111111111111111,0.1111111111111111,60.0
Retail -> ProZorro,reverse,retail_baseline,7,12,6,2,-0.14310519165179292,-0.033305313188683516,0.18830778104353896,0.16666666666666666,0.16666666666666666,61.5
Retail -> ProZorro,reverse,retail_observed,7,12,6,2,-0.10379044177783948,-0.03530429762745335,0.15465723925262057,0.16666666666666666,0.16666666666666666,61.5
Retail matched -> ProZorro,reverse,retail_matched_baseline,7,12,6,2,-0.057504609340240175,-0.05905655737926915,0.07483323194415237,0.0,0.0,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,7,12,6,2,-0.014226146633176,-0.00016543741520242544,0.11619789683231212,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,7,36,9,2,0.005062948389333061,0.002510418187363305,0.007516387420798457,0.1111111111111111,0.1111111111111111,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,7,12,6,2,-0.14310519165179292,-0.033305313188683516,0.18830778104353896,0.16666666666666666,0.16666666666666666,61.5
Retail optimal -> ProZorro,reverse,retail_optimal_observed,7,12,6,2,-0.10379044177783948,-0.03530429762745335,0.15465723925262057,0.16666666666666666,0.16666666666666666,61.5
Silpo -> ProZorro,reverse,silpo_baseline,7,12,6,2,-0.17398101955365708,-0.14380699036525546,0.4420789813090711,0.16666666666666666,0.16666666666666666,47.0
Silpo -> ProZorro,reverse,silpo_observed,7,12,6,2,-0.11699968219292299,-0.15179412192203537,0.39014185697747195,0.16666666666666666,0.16666666666666666,47.0
FarmGateUA -> ProZorro,forward,procurement_price,14,28,7,2,-16.94467033938221,-2.706584760541242,83.48161296311541,0.35714285714285715,0.2857142857142857,254.0
FarmGateUA -> ProducerUA,forward,processor_price,14,20,5,2,5.147748272586626,4.776126239694069,5.147748272586627,1.0,1.0,1462.0
FarmGateUA -> Retail,forward,retail_observed,14,36,9,2,-19.211133068960304,-11.836135988388222,52.06215533156721,0.25,0.25,49.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,14,36,9,2,-17.93646241544636,-11.836135988388222,58.95115909044292,0.25,0.25,49.0
Novus -> ProZorro,reverse,novus_observed,14,8,4,2,-0.07940367789464138,-0.06970338289954209,0.11338265319672768,0.25,0.25,37.5
ProZorro -> Novus,forward,novus_observed,14,6,3,2,0.12046832690462494,0.3078886912747398,0.45173362397059774,0.3333333333333333,0.0,35.0
ProZorro -> ProducerUA,reverse,processor_price,14,10,5,2,-0.05414201284271458,-0.0022450714225321178,0.05854026614102268,0.0,0.0,261.0
ProZorro -> Retail,forward,retail_baseline,14,12,6,2,-0.030489359268086675,0.034747247765480396,0.09019449942265871,0.0,0.0,50.5
ProZorro -> Retail,forward,retail_observed,14,12,6,2,-0.003065224495522464,0.044287404345769624,0.11809778323595276,0.0,0.0,50.5
