region,product,price_median,price_mean,price_std,n_obs,cv
Тернопільська,Масло вершкове,369.93000000000006,385.60245762711867,74.34052336085995,118,0.19279058494162388
Тернопільська,Молоко питне,47.0,50.71975609756098,17.669891126971446,41,0.34838280951081224
Тернопільська,Сир кисломолочний,135.0,142.5372340425532,42.91342542041591,47,0.3010681784915547
Тернопільська,Сир твердий,319.98,304.27777777777777,56.791314973420505,27,0.18664299242679736
Тернопільська,Сметана,140.4,138.63000000000002,23.427213283321223,19,0.16899093474227236
Харківська,Інше/невідомо,5.9,6.096235294117648,1.117112536930845,85,0.18324629595723843
Харківська,Вершки,38.3,51.668461538461536,35.67678382150154,65,0.6904944091463622
Харківська,Масло вершкове,330.0,352.87951923076923,87.35964892861962,104,0.24756225331255302
Харківська,Молоко питне,96.0,92.75108108108108,43.604443821943434,37,0.47012329466893577
Харківська,Сир кисломолочний,120.0,269.3550980392157,247.6092451131221,51,0.9192669710564468
Харківська,Сир твердий,235.0,261.03724137931033,69.73600862725857,29,0.26714965366158594
Харківська,Сметана,124.2,124.54545454545455,28.285936917003955,11,0.22711336210733102
Херсонська,Інше/невідомо,5.22,5.3,0.4548626166217661,7,0.08582313521165398
Херсонська,Вершки,108.45,95.33,56.35377094747076,7,0.5911441408525203
Херсонська,Масло вершкове,255.51,274.36333333333334,46.57961557018978,6,0.16977347156516218
Херсонська,Молоко питне,168.0,168.0,,1,
Херсонська,Сир твердий,179.37,179.37,,1,
Хмельницька,Інше/невідомо,5.7,5.783404255319149,0.859427858183896,94,0.14860241827180895
Хмельницька,Вершки,36.9,50.95161290322581,47.41152230536189,31,0.9305205390732628
Хмельницька,Масло вершкове,378.9,376.89630434782606,54.55608427340633,92,0.14475091329910783
Хмельницька,Молоко питне,44.1,45.03933962264151,12.969743711450155,106,0.28796478412241633
Хмельницька,Сир кисломолочний,150.0,142.51380952380953,22.56849230147873,21,0.1583600380685091
Хмельницька,Сир твердий,275.5,284.62357142857144,44.71377451319595,28,0.15709793215217677
Хмельницька,Сметана,140.73000000000002,136.63029411764705,22.922220460068093,34,0.16776821427560315
Черкаська,Інше/невідомо,6.18,6.1665467625899275,0.9127143085485718,139,0.14801060361459661
Черкаська,Вершки,42.0,42.68082191780822,7.653560310481627,73,0.17932082763589524
Черкаська,Масло вершкове,448.0,442.698679245283,90.06855640831095,106,0.20345341115961924
Черкаська,Молоко питне,43.2,46.79972972972973,17.528939957568344,37,0.3745521621342401
Черкаська,Сир кисломолочний,155.85,145.842,43.86916766618826,30,0.300799273639886
Черкаська,Сир твердий,316.45000000000005,319.6157692307692,81.47826106014176,26,0.2549256604460988
Черкаська,Сметана,148.8,138.79310344827587,30.227789142661454,29,0.21779028202166015
Чернівецька,Інше/невідомо,5.98,6.015684210526316,0.9035575699394301,95,0.15020029947023722
Чернівецька,Вершки,35.0,35.47821428571429,6.967234773538954,56,0.1963806497539644
Чернівецька,Масло вершкове,360.0,347.0751851851852,76.80594293593286,81,0.22129482663807362
Чернівецька,Молоко питне,37.86,53.75857142857143,111.9479706716473,49,2.0824208623250273
Чернівецька,Сир кисломолочний,80.0,85.73230769230769,14.170752834533385,13,0.16529069630776838
Чернівецька,Сир твердий,229.0,237.36666666666665,40.08311019715066,27,0.16886579215201797
