dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Danone,Чумак,log_price,0.01432555550087146,-0.11976702254000834,48
Silpo,Інше/невідомо,Danone,Яготинська,log_price,-0.15402499277307027,-0.24704490811319435,48
Silpo,Інше/невідомо,Danone,Яготинський,log_price,,,24
Silpo,Інше/невідомо,Danone,Яйця,log_price,-0.12466548949174916,-0.18203542099488687,48
Silpo,Інше/невідомо,Danone,Ясенсвіт,log_price,-0.015783777812011412,0.013279383500730005,48
Silpo,Інше/невідомо,Farm,Latteria,log_price,-0.15861286308925487,-0.2509766791068496,48
Silpo,Інше/невідомо,Farm,Muller,log_price,0.012278505790900911,0.5577782785838611,48
Silpo,Інше/невідомо,Farm,Organick,log_price,-0.21605989573643608,-0.02023292245414556,48
Silpo,Інше/невідомо,Farm,Premialle,log_price,0.0826101082296425,0.11456967105351995,48
Silpo,Інше/невідомо,Farm,Агрокомплекс Фенікс,log_price,0.15458388469901346,0.1290980278527926,48
Silpo,Інше/невідомо,Farm,Айран,log_price,0.029370397568427135,0.10838283984067709,48
Silpo,Інше/невідомо,Farm,Бариста,log_price,-0.0610389058491483,0.3579439875733345,48
Silpo,Інше/невідомо,Farm,Бісквіт,log_price,0.12359026102380713,0.052877176171651157,48
Silpo,Інше/невідомо,Farm,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Farm,Волошковое поле,log_price,0.1288149026892851,0.17110194989760363,48
Silpo,Інше/невідомо,Farm,Від доброї курки,log_price,0.02707083536402015,-0.2266666337878979,48
Silpo,Інше/невідомо,Farm,ДанКолекція,log_price,-0.14265056693379463,-0.09259543679083351,48
Silpo,Інше/невідомо,Farm,Даніссімо,log_price,0.25141991288773813,0.09781108004886108,48
Silpo,Інше/невідомо,Farm,Деліссімо,log_price,0.13217664834481052,0.2199477885174009,48
Silpo,Інше/невідомо,Farm,Дольче,log_price,-0.1444379980432203,-0.06041175635716514,48
Silpo,Інше/невідомо,Farm,Закваска,log_price,0.2174705853986291,0.17645550333855975,48
Silpo,Інше/невідомо,Farm,Злагода,log_price,0.19131327501911968,0.16449492110389585,48
Silpo,Інше/невідомо,Farm,Карамель,log_price,-0.05710692107622498,0.10617503440719016,48
Silpo,Інше/невідомо,Farm,Квочка,log_price,0.0717348785124284,0.32482515976572174,48
Silpo,Інше/невідомо,Farm,Коктейль,log_price,-0.34663017253437994,-0.3136301512069377,48
Silpo,Інше/невідомо,Farm,Лавка Традицій,log_price,0.1021448024640459,0.6049541914031803,48
Silpo,Інше/невідомо,Farm,Лавка традицій,log_price,0.10230757809310054,0.19438054744088362,48
Silpo,Інше/невідомо,Farm,Малина,log_price,0.12196766957433294,-0.13345110985291853,48
Silpo,Інше/невідомо,Farm,Мацоні,log_price,-0.040051957132592866,-0.12044929276884132,48
Silpo,Інше/невідомо,Farm,Напій,log_price,-0.5656122258061071,-0.4741316328436404,48
Silpo,Інше/невідомо,Farm,Персик і маракуя,log_price,6.688525673353867e-16,,48
Silpo,Інше/невідомо,Farm,Повна Чаша,log_price,0.014165888224050644,0.057640974931974225,48
Silpo,Інше/невідомо,Farm,Полуниця,log_price,-0.15782012561806552,-0.2735801176915282,48
Silpo,Інше/невідомо,Farm,Премія,log_price,0.03503908348794749,-0.1988983889456468,48
Silpo,Інше/невідомо,Farm,ПростоНаше,log_price,-0.13787618119691814,-0.4182909578718325,48
Silpo,Інше/невідомо,Farm,РадиМо,log_price,0.3959122305972472,0.6130321499502305,48
Silpo,Інше/невідомо,Farm,Слов'яночка,log_price,0.14094757841644617,-0.2604922147043105,48
Silpo,Інше/невідомо,Farm,Снек,log_price,-0.11060334256327757,-0.07898153520495714,47
Silpo,Інше/невідомо,Farm,Сільпо,log_price,-0.01459064728189906,0.15052985659362791,41
Silpo,Інше/невідомо,Farm,Турецький,log_price,-0.09413032111865192,-0.17793211842925896,48
Silpo,Інше/невідомо,Farm,Тістечко,log_price,0.0089819447767815,0.019933762612217104,48
Silpo,Інше/невідомо,Farm,Ферма,log_price,-0.2727380806792922,-0.1424930383455672,48
Silpo,Інше/невідомо,Farm,Це – яйце!,log_price,0.015053245815372733,0.05868191275060478,47
Silpo,Інше/невідомо,Farm,Це-Яйце!,log_price,-0.0004562726508017031,0.10708055678890228,48
