"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Ukraine","2023","Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)","Import","15309250.93","1801396.635","Weight in kilograms","1801396.635"
"Ukraine","2023","Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)","Export","308.49","34.128","Weight in kilograms","34.128"
"Ukraine","2023","Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406","Import","106164441","16533560.729","Weight in kilograms","16533560.729"
"Ukraine","2023","Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406","Export","30061374.55","5865409.843","Weight in kilograms","5865409.843"
"Ukraine","2023","Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)","Import","30688872.24","7165409.6","Weight in kilograms","7165409.6"
"Ukraine","2023","Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)","Export","873098.73","242037","Weight in kilograms","242037"
"Ukraine","2023","Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)","Import","657955.6","583183.7","Weight in kilograms","583183.7"
"Ukraine","2023","Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)","Export","59965449.67","48586263.64","Weight in kilograms","48586263.64"
"Ukraine","2023","Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter","Import","648830.52","47460","Weight in kilograms","47460"
"Ukraine","2023","Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter","Export","1180114.73","212860","Weight in kilograms","212860"
"Ukraine","2023","Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","Import","156.46","24","Weight in kilograms","24"
"Ukraine","2023","Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","Export","1176524.39","355202","Weight in kilograms","355202"
"Ukraine","2023","Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter","Import","5811.55","640","Weight in kilograms","640"
"Ukraine","2023","Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter","Export","30722552.53","4219520.5","Weight in kilograms","4219520.5"
"Ukraine","2023","Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter","Export","6203726.96","3877797.7","Weight in kilograms","3877797.7"
"Ukraine","2023","Honey; natural","Import","121924.35","41448","Weight in kilograms","41448"
"Ukraine","2023","Honey; natural","Export","121384307.4","55357199.65","Weight in kilograms","55357199.65"
"Ukraine","2023","Animal products; edible products of animal origin, not elsewhere specified or included, other than insects","Import","6750.86","105","Weight in kilograms","105"
"Ukraine","2023","Animal products; edible products of animal origin, not elsewhere specified or included, other than insects","Export","20992.38","282","Weight in kilograms","282"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%","Import","3145.15","2336.8","Weight in kilograms","2336.8"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%","Export","121470.48","229571.45","Weight in kilograms","229571.45"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%","Export","14472752.39","28284533.32","Weight in kilograms","28284533.32"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%","Import","5652510.77","8281157.18","Weight in kilograms","8281157.18"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%","Import","1285448.96","572004.94","Weight in kilograms","572004.94"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%","Export","360817.15","280549.5","Weight in kilograms","280549.5"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%","Import","1642489.6","526359.27","Weight in kilograms","526359.27"
"Ukraine","2022","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%","Export","1446767.68","604969.68","Weight in kilograms","604969.68"
"Ukraine","2022","Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)","Import","1604111.39","","No Quantity",""
"Ukraine","2022","Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)","Export","71731325","21500633.2","Weight in kilograms","21500633.2"
"Ukraine","2022","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Export","12768591.64","2558712","Weight in kilograms","2558712"
"Ukraine","2022","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Import","1487571.41","284000","Weight in kilograms","284000"
"Ukraine","2022","Dairy produce; milk and cream, containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)","Export","131404.36","55631.7","Weight in kilograms","55631.7"
"Ukraine","2022","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Import","1750.26","784.8","Weight in kilograms","784.8"
"Ukraine","2022","Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Export","56.06","13","Weight in kilograms","13"
"Ukraine","2022","Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Import","932655.11","475329.17","Weight in kilograms","475329.17"
"Ukraine","2022","Dairy produce; milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms","Export","6673629.56","2973915.05","Weight in kilograms","2973915.05"
"Ukraine","2022","Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa","Export","869392.15","779957.56","Weight in kilograms","779957.56"
"Ukraine","2022","Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa","Import","9646067.85","5530281.22","Weight in kilograms","5530281.22"
"Ukraine","2022","Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit, nuts or cocoa (excluding yoghurt)","Import","5273558.29","3925353.52","Weight in kilograms","3925353.52"
"Ukraine","2022","Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit, nuts or cocoa (excluding yoghurt)","Export","3794826.93","2274954.54","Weight in kilograms","2274954.54"
"Ukraine","2022","Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter","Export","16717087.81","16093034.1","Weight in kilograms","16093034.1"
"Ukraine","2022","Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter","Import","3226463.39","3204231.09","Weight in kilograms","3204231.09"
"Ukraine","2022","Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.c. in chapter 04","Export","43865.18","31131.54","Weight in kilograms","31131.54"
"Ukraine","2022","Dairy produce; natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.c. in chapter 04","Import","3689909.81","1733879.94","Weight in kilograms","1733879.94"
"Ukraine","2022","Dairy produce; derived from milk, butter","Import","5258074.77","761167.02","Weight in kilograms","761167.02"
"Ukraine","2022","Dairy produce; derived from milk, butter","Export","73551827.31","12639771.51","Weight in kilograms","12639771.51"
"Ukraine","2022","Dairy produce; dairy spreads","Import","80849.86","11069.24","Weight in kilograms","11069.24"
"Ukraine","2022","Dairy produce; dairy spreads","Export","5827643.54","1188236.35","Weight in kilograms","1188236.35"
