term,coef,pvalue,n_obs,r2,standardized_type
r_Чернівецька,3.7424116051218426e-05,0.9994537505384118,423,0.015047351256437747,hard_cheese
r_Чернігівська,0.008620708804419844,0.8680714425403029,423,0.015047351256437747,hard_cheese
dlog_bm,3.5025204007317985,0.0046784952430459345,553,0.027781804670838794,milk
r_Івано-Франківська,0.012420488620411917,0.9502494254654336,553,0.027781804670838794,milk
r_Волинська,-0.02576214172378217,0.895854137892408,553,0.027781804670838794,milk
r_Вінницька,-0.024595933747747416,0.8868077380419856,553,0.027781804670838794,milk
r_Дніпропетровська,-0.027781868005463683,0.8645884450018604,553,0.027781804670838794,milk
r_Донецька,0.11342427412154417,0.5023742596259198,553,0.027781804670838794,milk
r_Житомирська,-0.0020475027593641506,0.9907900444149493,553,0.027781804670838794,milk
r_Закарпатська,-0.033128214939236386,0.8443056127612962,553,0.027781804670838794,milk
r_Запорізька,-0.008874620813286448,0.9675374471770594,553,0.027781804670838794,milk
r_Київська,-0.031055156497610457,0.8536102908093296,553,0.027781804670838794,milk
r_Кіровоградська,-0.027384252897558883,0.8693972754186226,553,0.027781804670838794,milk
r_Львівська,-0.028893489771873507,0.8594113329326891,553,0.027781804670838794,milk
r_Миколаївська,-0.04916957194615828,0.7823281483688118,553,0.027781804670838794,milk
r_Одеська,-0.020617773303148273,0.8986665924240542,553,0.027781804670838794,milk
r_Полтавська,-0.009269342517058498,0.9538153365046592,553,0.027781804670838794,milk
r_Рівненська,-0.022911057341717205,0.8855366959733548,553,0.027781804670838794,milk
r_Сумська,-0.009718302164106967,0.9554444936656292,553,0.027781804670838794,milk
r_Тернопільська,-0.03231098153014384,0.8532565438271323,553,0.027781804670838794,milk
r_Харківська,-0.06936618077048921,0.7575212666539819,553,0.027781804670838794,milk
r_Хмельницька,-0.03026176892983605,0.8667413754693822,553,0.027781804670838794,milk
r_Черкаська,-0.017815998288386477,0.92144762783003,553,0.027781804670838794,milk
r_Чернівецька,-0.016535254473151857,0.9492068273460691,553,0.027781804670838794,milk
r_Чернігівська,-0.018417577815405893,0.9206731932920659,553,0.027781804670838794,milk
dlog_bm,0.47617910988811973,0.2225071731923265,752,0.009450263765217404,other
r_Івано-Франківська,0.004255745141991652,0.8597743128385013,752,0.009450263765217404,other
r_Волинська,0.0082811780973677,0.6962906212559488,752,0.009450263765217404,other
r_Вінницька,0.004539751882689576,0.7800170530416553,752,0.009450263765217404,other
r_Дніпропетровська,-0.0001241614040464484,0.9961667781631826,752,0.009450263765217404,other
r_Донецька,0.04862698700242423,0.8834837734199756,752,0.009450263765217404,other
r_Житомирська,0.001964470734639313,0.8769355433473266,752,0.009450263765217404,other
r_Закарпатська,-0.007488921729213486,0.7369454754482538,752,0.009450263765217404,other
r_Запорізька,0.0005338099292440503,0.9823907164905467,752,0.009450263765217404,other
r_Київська,0.003578849409064417,0.7836222662207929,752,0.009450263765217404,other
r_Кіровоградська,0.0012443222013836168,0.9551718114494416,752,0.009450263765217404,other
r_Луганська,0.11107882106973795,0.0018671179973916434,752,0.009450263765217404,other
r_Львівська,-0.0067058226784920925,0.7922896158831977,752,0.009450263765217404,other
r_Миколаївська,-0.007809893871635996,0.7833227208251652,752,0.009450263765217404,other
r_Одеська,0.002373985704094834,0.90158799351812,752,0.009450263765217404,other
r_Полтавська,-0.0008152716019935593,0.9594368326207738,752,0.009450263765217404,other
r_Рівненська,0.008534134032870733,0.6221363744202738,752,0.009450263765217404,other
r_Сумська,0.0004706244165551326,0.9836453883044831,752,0.009450263765217404,other
r_Тернопільська,-0.003004728135912003,0.8668864493933474,752,0.009450263765217404,other
r_Харківська,-0.0014098294114427076,0.9502888089921327,752,0.009450263765217404,other
r_Херсонська,-0.011106841953951598,0.8253107189487231,752,0.009450263765217404,other
r_Хмельницька,0.00036708484875806746,0.9880073484003802,752,0.009450263765217404,other
r_Черкаська,-0.0010108311920514076,0.9619133500271094,752,0.009450263765217404,other
r_Чернівецька,0.005990078482861519,0.8450251071001608,752,0.009450263765217404,other
r_Чернігівська,0.003642913798438908,0.8360134504845667,752,0.009450263765217404,other
