date,period,territory,indicator,flow,milk_product_raw,product,unit_raw,value,value_uah_kg_or_tonne
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-06-01,2025-M06,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-07-01,2025-M07,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15619.3,15.619299999999999
2025-07-01,2025-M07,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-07-01,2025-M07,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-08-01,2025-M08,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15601.3,15.601299999999998
2025-08-01,2025-M08,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-08-01,2025-M08,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15655.8,15.6558
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-09-01,2025-M09,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15739.6,15.739600000000001
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-10-01,2025-M10,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15758.5,15.7585
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-11-01,2025-M11,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15744.7,15.7447
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,10182.0,10.182
2025-12-01,2025-M12,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,15860.6,15.8606
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,14634.4,14.6344
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2026-01-01,2026-M01,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,14277.7,14.277700000000001
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2026-02-01,2026-M02,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,14222.0,14.222
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2026-03-01,2026-M03,Івано-Франківська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Молоко коров'яче сире (у перерахунку на молоко встановленої базисної жирності – 3,4%)",raw_milk,Гривня,,
2025-01-01,2025-M01,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-01-01,2025-M01,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-01-01,2025-M01,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-02-01,2025-M02,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-03-01,2025-M03,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-04-01,2025-M04,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-05-01,2025-M05,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-06-01,2025-M06,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-07-01,2025-M07,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у підприємств,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
2025-07-01,2025-M07,Волинська,Середня ціна купівлі тонни молочної сировини,Куплене переробними підприємствами у населення,"Вершки з молока коров'ячого сирі (у перерахунку на вершки встановленої базисної жирності – 10,0%)",cream,Гривня,,
