hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,milk_powder,Milk powder,208.0,0.2567367345071507,0.0005860882097625,-0.0390330693218322,0.0005860882097625,0.0491437638150713,acceptable,inferred,0.2845725575898788,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.2567367345071507,False,False,2.0,True,False,main reliable,main text
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,milk_powder,Milk powder,210.0,0.2846961406748443,5.4915361625272586e-05,-0.0681200126298104,5.4915361625272586e-05,,acceptable,inferred,4.1255920591114645e-06,0.7260844487280793,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.2846961406748443,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,milk_powder,Milk powder,210.0,0.1196427030254137,1.6726678572181622e-05,-0.0653544341014388,1.6726678572181622e-05,,acceptable,inferred,0.0001524611274461,0.8833898597466087,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.1196427030254137,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Procurement,sour_cream,Sour cream,37.0,1.0178171876415032,9.299276167307357e-08,-0.8325226945562353,9.299276167307357e-08,0.0010085049336585,weak_extension,inferred,0.2538799898448946,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.0178171876415032,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,sour_cream,Sour cream,37.0,4.823074215494891,2.0300166316158848e-06,-0.7686711482424599,2.0300166316158848e-06,,weak_extension,inferred,0.2928365330464562,0.01042497695159,reliable,previous model output,,,,,,,,,,,,,,,,,,,4.823074215494891,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Procurement,sour_cream,Sour cream,39.0,3.333611384556132,9.211682777321268e-05,-0.4150474150714848,9.211682777321268e-05,,weak_extension,inferred,0.5579538415235893,0.1043837968968081,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,3.333611384556132,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,sour_cream,Sour cream,210.0,1.0812136506701122,1.5562919137225043e-06,-0.0576836611230694,1.5562919137225043e-06,0.000106127754621,acceptable,inferred,0.0024744663702713,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.0812136506701122,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,ECM,weekly/monthly,FarmGate -> Producer,sour_cream,Sour cream,210.0,1.0821450384248872,2.7137954656275317e-06,-0.0501774249975928,2.7137954656275317e-06,0.0021796792703313,acceptable,inferred,0.0302724505017126,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.0821450384248872,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,sour_cream,Sour cream,210.0,0.2986175068529896,2.6185732554602044e-07,-0.0707187346393352,2.6185732554602044e-07,,acceptable,inferred,0.0100636642830831,0.6881146460659024,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.2986175068529896,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_core_weekly,NARDL,weekly/monthly,FarmGate -> Producer,sour_cream,Sour cream,210.0,0.1857554975408494,4.879513512391399e-08,-0.0655122961629092,4.879513512391399e-08,,acceptable,inferred,0.0075066268129134,0.7825888834522856,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.1857554975408494,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,ECM,weekly/monthly,Producer -> Procurement,sour_cream,Sour cream,37.0,0.6350653374809699,6.908412538542563e-06,-0.5980660412254649,6.908412538542563e-06,0.000355701038137,weak_extension,direct,0.5749489984653768,,reliable,previous model output,,,,,,,,,,,,,,,,,,,0.6350653374809699,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,sour_cream,Sour cream,37.0,1.4285314096049928,3.600927294357719e-11,-0.6928967278894376,3.600927294357719e-11,,weak_extension,direct,0.0949537736369447,0.1017343605681962,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.4285314096049928,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H2,old_final_core_weekly,NARDL,weekly/monthly,Producer -> Procurement,sour_cream,Sour cream,39.0,0.7843393493259478,0.0060458309128107,-0.2940024585489345,0.0060458309128107,,weak_extension,direct,0.8131107266578854,0.4711691341580251,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.7843393493259478,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,butter,Butter,262.0,1.5264907065872602,2.3183132619004474e-08,-0.6165777553266321,2.3183132619004474e-08,4.7276752584717325e-09,acceptable,inferred,0.9838699623220062,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.5264907065872602,False,False,2.0,True,False,main reliable,main text
