model_family,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,diagnostic_ljungbox_p,diagnostic_bp_p,r2,detail,hypothesis,source_block,data_layer,frequency,link,x_product,product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,reliability_raw,admissibility_status,mapping_type
Threshold ECM (Loy-style),32,0.426785017510643,0.003922113779536508,-0.7990052437780344,8.889890854675491e-05,7.99975888111809e-06,0.8012290077011535,0.5878832339650052,0.553327730022608,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,condensed_milk,2023-04-01,2026-03-01,0.7990052437780344,-0.22356851269879574,-0.9107895001274322,-0.6872209874286365,8.889890854675491e-05,0.027305190225692017,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,31,0.4800324302424642,0.01149007368408208,,,,0.07451777986002621,0.9405042150840064,0.1560519580039792,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,condensed_milk,2023-04-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,29,0.1746852576478625,0.4628000898995648,,,,0.022437161680700205,0.5481485954183878,0.1988697260338086,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,condensed_milk,2023-04-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,33,0.3241353660451972,0.022688872779260075,,0.00020621369479883672,0.00020621369479883672,0.0980274022816136,0.9415931087380333,0.21294882963384287,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),34,0.2692573342835351,0.025893676047811492,-0.6928568588939258,0.00716558934623133,0.010537511944214146,0.9802472362804725,0.5146061266710565,0.3169476811169797,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,0.6928568588939258,0.20715491021150778,-0.5892794037881719,-0.7964343139996797,0.00716558934623133,0.008791491184020422,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,33,0.08380987665780662,0.7607864092933072,,,,0.7855992340975281,0.26067849316776304,0.023608508593206512,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,31,0.03513387482811377,0.9143273921011377,,,,0.09537248024267378,0.7853767110653859,0.06448377729232113,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=6 month,28,-0.7020686429437518,0.05801444322901307,,,,0.5077141856362378,0.9856128576190563,0.11089669985824169,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,cottage_cheese,2023-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,33,0.8521599269734484,1.764101095299937e-34,,0.08550486396506768,0.08550486396506768,0.0011334736213451406,0.4828104476627294,0.858305863844226,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),34,0.8067152668516892,4.866765738235573e-13,-0.4045478164642314,0.02408124385821151,0.6821009269343109,0.3456170811933499,0.5295036169771123,0.22005561441394383,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,0.4045478164642314,0.4800733798799727,-0.16451112652424502,-0.6445845064042177,0.5943708765357845,0.02408124385821151,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,33,0.31132050799757827,0.00013282521740955603,,,,0.6334972396951,0.21844019824255667,0.13246533522851367,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,31,0.11429384172253411,0.5225908739599856,,,,0.0066434942467188856,0.8053580719313506,0.1242045890533946,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=6 month,28,-0.36022517315359215,0.10644634397771459,,,,0.0349636251558265,0.8817329948564901,0.19581214601994934,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,drinking_milk,2023-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,33,0.940926469505915,1.2774366106314598e-21,,0.016846120757842344,0.016846120757842344,0.5354729099706421,0.5192262259072349,0.7379305341602846,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),34,0.8857793919875823,5.744581169083345e-10,-0.6951373036801096,1.2830550423730317e-07,2.102729295590413e-05,0.7828503166809335,0.3846621798128634,0.5815158583935471,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,0.6951373036801096,-0.7550549276318015,-1.0726647674960104,-0.3176098398642089,1.2830550423730317e-07,0.3697654575097232,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,33,-0.22566914045268782,0.3645154579790485,,,,0.2876960663754573,0.4547598365281723,0.1790417228145158,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,31,-0.31857501407294664,0.19435677155881592,,,,0.17401076054793999,0.501425398762517,0.069552057656313,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=6 month,28,-0.5809415927655046,0.010701105583983404,,,,0.30532383326636675,0.49258804268212897,0.0722516615643396,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,hard_cheese,2023-02-01,2026-03-01,,,,,,,6.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,31,0.7147531938725161,6.041970610706405e-25,,0.05244379906996226,0.05244379906996226,0.5614594480315658,0.817056216582114,0.6480911015458162,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,kefir,2023-02-01,2026-03-01,,,,,,,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Threshold ECM (Loy-style),32,0.5958377785153127,5.2631573967273725e-06,-0.747072049320693,2.156716124571736e-09,0.0005579209231851105,0.8318211315085493,0.5451168891240006,0.5774602155344285,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,kefir,2023-02-01,2026-03-01,0.747072049320693,-0.8564005909540295,-1.1752723447977078,-0.31887175384367833,2.156716124571736e-09,0.11317973547789699,,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=1 month,31,-0.3679060757982542,0.05563947857118079,,,,0.09556266666738857,0.33772619767715384,0.05201925504069316,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,kefir,2023-02-01,2026-03-01,,,,,,,1.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
Local Projection h=3 month,29,0.019333558429444203,0.8776706257366953,,,,0.4780045179951583,0.5322583500536364,0.013125963017684539,Jorda local projection pass-through response.,H1,newmodel_v2,prozorro_monthly,monthly,FarmGate -> ProZorro,raw_milk,kefir,2023-02-01,2026-03-01,,,,,,,3.0,,,,,unreliable / appendix only,too_short,direct_or_title_repaired
DOLS,106,0.882016249952779,0.0,,0.4664145931327316,0.4664145931327316,2.1149797018065144e-90,0.997477534834672,0.9861877611567166,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),109,0.8864868219006117,3.124292954620691e-98,-0.0644435611533485,0.10837912582215008,0.7886813741318777,0.9477371657250953,0.03928341987635999,0.3242179276809092,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,0.0644435611533485,-0.02787390656867217,-0.07838051443768458,-0.05050660786901241,0.10837912582215008,0.42864453088030363,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,108,0.1459562537257398,0.05881532171116324,,,,0.18269926187490432,0.003871108285114021,0.23965868926441858,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,,,,,,,1.0,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=3 month,106,0.5575209555354906,0.0007275021892195721,,,,4.97312629039751e-15,0.3546283827730519,0.16248819974118833,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,,,,,,,3.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Local Projection h=6 month,103,0.4815954779517846,0.022406257662069974,,,,5.010366192559392e-33,0.20280599986372339,0.04029082200409695,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,drinking_milk,drinking_milk,2017-02-01,2026-03-01,,,,,,,6.0,,,,,probable / needs validation,acceptable,direct_or_title_repaired
DOLS,106,1.1831725633498211,0.0,,0.002540424385860081,0.002540424385860081,7.863288130881161e-34,0.038857569312264424,0.9963049670317671,Dynamic Ordinary Least Squares with leads/lags of upstream changes.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,,,,,,,,,,,,probable / needs validation,acceptable,direct_or_title_repaired
Threshold ECM (Loy-style),109,1.1750553526721998,1.2575325526754416e-125,-0.008287878604393764,0.6864197567053758,0.01678131454159448,0.9441244865877806,0.3723173091471479,0.3737363648826102,Restricted two-regime error correction; first-stage speed/asymmetry follows Loy et al.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,0.013297671482091768,-0.026595342964183536,-0.021585550086485533,0.005009792877698004,0.6864197567053758,0.9425020689678665,,,,,,reliable,acceptable,direct_or_title_repaired
Local Projection h=1 month,108,0.3044638945729784,0.03202069462746155,,,,0.5655236787338678,0.16980124501409488,0.25122916858468325,Jorda local projection pass-through response.,H2,newmodel_v2,official_monthly,monthly,Processor -> Consumer,sour_cream,sour_cream,2017-02-01,2026-03-01,,,,,,,1.0,,,,,reliable,acceptable,direct_or_title_repaired
