product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
cottage_cheese,Cottage cheese,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,61,-0.8256986820746861,-0.8597615383352775,0.2841742421740818,0.43792891246996796,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,61,-0.7100277862918729,-0.7312834538637469,0.23806722834851649,0.4916305366815889,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,-0.8950761167241001,-0.8629516591783544,0.19438084149390464,0.40857649795265377,2025-10-21,2025-12-13
cottage_cheese,Cottage cheese,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,-0.7852280530496167,-0.7638311893551624,0.18058225336914271,0.456015694156736,2025-10-21,2025-12-13
cottage_cheese,Cottage cheese,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,67,-0.7622161513480182,-0.8006896634907719,0.3087942361569763,0.4666311550106999,2025-10-21,2026-01-08
cottage_cheese,Cottage cheese,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,67,-0.6796746776696916,-0.6966198700389175,0.27230455379060686,0.5067818329978353,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,linear,67,1.3424877525490355,1.2314398477584723,0.3156144268751186,3.8285561682512723,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,linear,67,1.432855587452796,1.3317128058348304,0.27490031848277224,4.190648886483442,2025-10-21,2025-12-29
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,linear,67,1.3424877525490355,1.2314398477584723,0.3156144268751186,3.8285561682512723,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,linear,67,1.3452785252097539,1.2352170011759638,0.31566660936840507,3.8392557212012037,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,linear,67,1.4356463601135143,1.3316900916633236,0.27498386102051825,4.202360369268343,2025-10-21,2025-12-29
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,linear,67,1.3452785252097539,1.2352170011759638,0.31566660936840507,3.8392557212012037,2025-10-21,2025-12-29
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,linear,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,linear,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
cream,Cream,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,linear,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,linear,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,linear,63,0.3966369111846958,0.36655026447794725,0.4870690698039294,1.4868159857785237,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,linear,63,0.5219329561884759,0.47891562212014716,0.45149217249763524,1.6852820797756387,2025-10-21,2026-01-08
