link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
FarmGateUA -> Retail,forward,retail_observed,3,36,9,2,10.300221949406728,11.012132699863624,18.626035426181247,0.2222222222222222,0.2222222222222222,56.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,3,36,9,2,16.389927631403992,14.516125182978145,21.217158719677325,0.2222222222222222,0.2222222222222222,56.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,3,36,9,2,8.183684348190539,9.384138306847394,16.509497824965056,0.19444444444444445,0.19444444444444445,56.0
Novus -> ProZorro,reverse,novus_observed,3,10,5,2,0.5335452582299844,-0.03376169066487278,0.6314880824820417,0.2,0.0,36.0
ProZorro -> Novus,forward,novus_observed,3,6,3,2,0.004951796289305106,0.19280862659572323,0.392489398345611,0.3333333333333333,0.0,42.0
ProZorro -> ProducerUA,reverse,processor_price,3,10,5,2,-0.00663313891657717,-0.0020466749739943653,0.012167533491468192,0.0,0.0,255.0
ProZorro -> Retail,forward,retail_baseline,3,14,7,2,0.0736533733342013,0.04779700545311591,0.15975493333196172,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Retail,forward,retail_observed,3,14,7,2,0.07796634674964555,0.040352025483023475,0.16120325618743286,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Retail matched,forward,retail_matched_baseline,3,12,6,2,0.12839471376114384,0.07883422713629762,0.15104417378986243,0.16666666666666666,0.16666666666666666,48.5
ProZorro -> Retail matched,forward,retail_matched_observed,3,12,6,2,0.18817975157222633,0.1531184177170211,0.20801686797036956,0.0,0.0,48.5
ProZorro -> Retail optimal,forward,retail_optimal_baseline,3,14,7,2,0.07063222756260513,0.04779700545311591,0.1627760791035579,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,3,14,7,2,0.07429837527021575,0.040352025483023475,0.16487122766686269,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Retail+Consumer,forward,retail_consumer_baseline,3,14,7,2,0.06565338309980154,0.04779700545311591,0.1577972346407543,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Retail+Consumer,forward,retail_consumer_observed,3,14,7,2,0.06835043441687706,0.040352025483023475,0.158923286813524,0.14285714285714285,0.14285714285714285,56.0
ProZorro -> Silpo,forward,silpo_baseline,3,14,7,2,0.018588662992560755,0.028414896504073073,0.037448709952804624,0.14285714285714285,0.14285714285714285,44.0
ProZorro -> Silpo,forward,silpo_observed,3,14,7,2,0.014677364085871067,0.022350856571961335,0.02601624713251507,0.0,0.0,44.0
ProducerUA -> FarmGateUA,reverse,processor_price,3,20,5,2,0.2766406332987249,0.26873107855790024,0.2766406332987249,1.0,1.0,1457.0
ProducerUA -> ProZorro,forward,procurement_price,3,10,5,2,0.6303311914277931,0.003399225570751202,2.643084776367672,0.2,0.2,258.0
Retail -> FarmGateUA,reverse,retail_observed,3,36,9,2,0.003279471620472392,0.002074595273773518,0.008039492921768976,0.19444444444444445,0.19444444444444445,59.0
Retail -> ProZorro,reverse,retail_baseline,3,14,7,2,-0.21933028810052416,-0.10835760334286118,0.24936703272000468,0.14285714285714285,0.14285714285714285,60.0
Retail -> ProZorro,reverse,retail_observed,3,14,7,2,-0.23364870317497738,-0.11312613218730706,0.23439506115826172,0.14285714285714285,0.14285714285714285,60.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,3,12,6,2,-0.034551760461041144,-0.06114160565341135,0.13750767748261128,0.16666666666666666,0.16666666666666666,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,3,12,6,2,0.0459855190157046,-0.004703144641467108,0.16318585384520026,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,3,36,9,2,0.003208193612716135,0.0018936178073653783,0.007999085297091025,0.19444444444444445,0.19444444444444445,59.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,3,14,7,2,-0.2243002826495836,-0.10835760334286118,0.2543370272690641,0.14285714285714285,0.14285714285714285,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,3,14,7,2,-0.23831167893154737,-0.11312613218730706,0.2390580369148317,0.14285714285714285,0.14285714285714285,60.0
Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,3,36,9,2,0.0020430775999293726,0.0026165747347775214,0.009489421345605249,0.19444444444444445,0.19444444444444445,59.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_baseline,3,14,7,2,-0.2914035890122615,-0.10835760334286118,0.32314876975743717,0.14285714285714285,0.14285714285714285,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_observed,3,14,7,2,-0.2882965022679776,-0.11312613218730706,0.288808691860489,0.14285714285714285,0.14285714285714285,60.0
Silpo -> ProZorro,reverse,silpo_baseline,3,14,7,2,0.006822555701183159,0.2269568438342736,0.34747406537723063,0.14285714285714285,0.14285714285714285,47.0
Silpo -> ProZorro,reverse,silpo_observed,3,14,7,2,-0.22162638871887466,-0.19410996126445373,0.2777676442282161,0.0,0.0,47.0
FarmGateUA -> ProZorro,forward,procurement_price,7,32,8,2,-2.0737861272617786,-2.671947772813787,6.64214043590647,0.0625,0.0625,260.0
FarmGateUA -> ProducerUA,forward,processor_price,7,20,5,2,5.608294958020695,4.6130617402038485,5.608294958020695,1.0,1.0,1451.0
FarmGateUA -> Retail,forward,retail_observed,7,36,9,2,-5.872207839799651,-2.9957365940042093,29.024350477650323,0.3888888888888889,0.3888888888888889,55.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,7,36,9,2,-5.571664634884386,-2.9957365940042093,28.72380727273507,0.3333333333333333,0.3333333333333333,55.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,7,36,9,2,-4.721333594849588,-3.609806644643746,27.163085841432878,0.4166666666666667,0.4166666666666667,55.0
Novus -> ProZorro,reverse,novus_observed,7,10,5,2,-0.3237994725738011,-0.025129109585415758,0.34601536170217007,0.0,0.0,36.0
ProZorro -> Novus,forward,novus_observed,7,6,3,2,-0.8827806715225955,-1.342150685162331,0.9150085185626741,0.3333333333333333,0.3333333333333333,42.0
ProZorro -> ProducerUA,reverse,processor_price,7,10,5,2,0.07237549435148222,0.0010329424458259216,0.08580234280836983,0.0,0.0,251.0
ProZorro -> Retail,forward,retail_baseline,7,14,7,2,-0.2987000665081157,-0.062289579963020626,0.3126225260978735,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Retail,forward,retail_observed,7,14,7,2,-0.319516538623358,-0.07457792505765173,0.32470579937627,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Retail matched,forward,retail_matched_baseline,7,12,6,2,-0.16154391348860558,-0.07084989782497139,0.19960493406554858,0.16666666666666666,0.16666666666666666,48.0
ProZorro -> Retail matched,forward,retail_matched_observed,7,12,6,2,-0.20741800337501523,-0.057303116847678484,0.2814694416109596,0.16666666666666666,0.16666666666666666,48.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,7,14,7,2,-0.2685069324732565,-0.062289579963020626,0.2824293920630144,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,7,14,7,2,-0.2878195753014036,-0.07457792505765173,0.29300883605431555,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Retail+Consumer,forward,retail_consumer_baseline,7,14,7,2,-0.25218989749684984,-0.062289579963020626,0.2661123570866076,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Retail+Consumer,forward,retail_consumer_observed,7,14,7,2,-0.26997245116694896,-0.07457792505765173,0.27516171191986094,0.14285714285714285,0.14285714285714285,55.0
ProZorro -> Silpo,forward,silpo_baseline,7,14,7,2,-0.030910023471839916,-0.024800034183757893,0.08025310426578171,0.42857142857142855,0.42857142857142855,42.0
ProZorro -> Silpo,forward,silpo_observed,7,14,7,2,-0.038808494886750575,-0.02819430074727307,0.0650060880789479,0.2857142857142857,0.2857142857142857,42.0
ProducerUA -> FarmGateUA,reverse,processor_price,7,20,5,2,0.39947699180429347,0.3763875961949865,0.39947699180429347,1.0,1.0,1453.0
ProducerUA -> ProZorro,forward,procurement_price,7,10,5,2,1.8597444392661466,1.497067211271168,2.2329190278537574,0.4,0.4,258.0
Retail -> FarmGateUA,reverse,retail_observed,7,36,9,2,0.003296718845991762,-0.0005848221555252466,0.013847353098210665,0.1388888888888889,0.1388888888888889,58.0
Retail -> ProZorro,reverse,retail_baseline,7,14,7,2,-0.2687155906188934,-0.11063825503307696,0.3822447633538203,0.14285714285714285,0.14285714285714285,60.0
Retail -> ProZorro,reverse,retail_observed,7,14,7,2,-0.20355025303526322,-0.055734653337423196,0.2530234480800108,0.2857142857142857,0.2857142857142857,60.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,7,12,6,2,-0.0775094788817318,-0.04062507909026229,0.14884789763534012,0.16666666666666666,0.16666666666666666,54.0
Retail matched -> ProZorro,reverse,retail_matched_observed,7,12,6,2,-0.04041429172416791,-0.000632271120741941,0.14269382122209603,0.16666666666666666,0.16666666666666666,54.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,7,36,9,2,0.0037325827647425066,0.00028219997115048567,0.013895501533952683,0.1388888888888889,0.1388888888888889,58.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,7,14,7,2,-0.25682862308969134,-0.11063825503307696,0.39413173088302234,0.14285714285714285,0.14285714285714285,60.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,7,14,7,2,-0.19144396388050852,-0.055734653337423196,0.2651297372347655,0.2857142857142857,0.2857142857142857,60.0
Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,7,36,9,2,0.002634091708167138,0.00018848322982842225,0.015001173017119424,0.1388888888888889,0.1388888888888889,58.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_baseline,7,14,7,2,-0.3081248765305268,-0.11063825503307696,0.44676854982979375,0.14285714285714285,0.14285714285714285,60.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_observed,7,14,7,2,-0.20824186170926343,-0.07807591538418379,0.28261704438686236,0.2857142857142857,0.2857142857142857,60.0
Silpo -> ProZorro,reverse,silpo_baseline,7,14,7,2,-0.25902170885370307,0.041743922400813316,0.46119495314625336,0.2857142857142857,0.2857142857142857,47.0
Silpo -> ProZorro,reverse,silpo_observed,7,14,7,2,-0.1992238168854206,-0.021075593496534248,0.35959500267027744,0.2857142857142857,0.2857142857142857,47.0
FarmGateUA -> ProZorro,forward,procurement_price,14,32,8,2,6.089740797285344,-1.4053781206884555,16.406339924551915,0.28125,0.15625,254.0
FarmGateUA -> ProducerUA,forward,processor_price,14,20,5,2,1.9376358810037577,1.5425811159267295,1.943366498078646,0.0,0.0,1444.0
