item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
yogurt_dessert|активіа|біфідойогурт персик манго безлактозний,yogurt_dessert,активіа,біфідойогурт персик манго безлактозний,Біфідойогурт персик-манго безлактозний,активіа,біфідойогурт персик манго безлактозний,Біфідойогурт Персик-манго безлактозний,50.0,1.0,1,51.0
butter|селянське|бутербродне,butter,селянське,бутербродне,Масло солодковершкове бутербродне,селянське,бутербродне,Масло Бутербродне,48.0,1.0,1,49.0
cottage_cheese|волошкове поле|безлактозний,cottage_cheese,волошкове поле,безлактозний,Сир кисломолочний безлактозний пакет,волошкове поле,безлактозний,Сир кисломолочний безлактозний,48.0,1.0,1,49.0
cottage_cheese|галичина|безлактозний,cottage_cheese,галичина,безлактозний,Сир кисломолочний безлактозний,галичина,безлактозний,Сир кисломолочний безлактозний,48.0,1.0,1,49.0
cottage_cheese|звени гора|курагою,cottage_cheese,звени гора,курагою,Сир кисломолочний з курагою,звени гора,курагою,Сир кисломолочний з курагою,48.0,1.0,1,49.0
cottage_cheese|звени гора|родзинками,cottage_cheese,звени гора,родзинками,Сир кисломолочний з родзинками,звени гора,родзинками,Сир кисломолочний з родзинками,48.0,1.0,1,49.0
cottage_cheese|звени гора|традиційний,cottage_cheese,звени гора,традиційний,Сир кисломолочний Домашній традиційний,звени гора,традиційний,Сир кисломолочний Традиційний,48.0,1.0,1,49.0
cream|president|кулінар вершками,cream,president,кулінар вершками,Сир кисломолочний Кулінар з вершками,president,кулінар вершками,Сир кисломолочний Кулінар з вершками,48.0,1.0,1,49.0
cream|галичина|cream,cream,галичина,cream,Вершки,галичина,cream,Вершки,48.0,1.0,1,49.0
cream|галичина|для соусу ультрапастеризовані,cream,галичина,для соусу ультрапастеризовані,Вершки Для соусу ультрапастеризовані,галичина,для соусу ультрапастеризовані,Вершки Для соусу ультрапастеризовані,48.0,1.0,1,49.0
milk_powder|молочний світ|сухе незбиране,milk_powder,молочний світ,сухе незбиране,Молоко сухе незбиране,молочний світ,сухе незбиране,Молоко сухе незбиране,48.0,1.0,1,49.0
milk|lactel|напій айран,milk,lactel,напій айран,Напій кисломолочний Айран пляшка,lactel,напій айран,Напій кисломолочний Айран,48.0,1.0,1,49.0
milk|айран|onur турецький безлактозний,milk,айран,onur турецький безлактозний,Onur Турецький безлактозний пляшка,айран,onur турецький безлактозний,Onur Турецький безлактозний,48.0,1.0,1,49.0
milk|айран|яготинський кропом,milk,айран,яготинський кропом,Яготинський з кропом,айран,яготинський кропом,Яготинський з кропом,48.0,1.0,1,49.0
milk|волошкове поле|безлактозний,milk,волошкове поле,безлактозний,Кефір безлактозний,волошкове поле,безлактозний,Кефір безлактозний,48.0,1.0,1,49.0
milk|молокія|казкове,milk,молокія,казкове,Молоко Казкове,молокія,казкове,Молоко Казкове пастеризоване,48.0,1.0,1,49.0
milk|на здоров я|безлактозний,milk,на здоров я,безлактозний,Кефір безлактозний,на здоров я,безлактозний,Кефір безлактозний,48.0,1.0,1,49.0
milk|наше|для дітей від років,milk,наше,для дітей від років,Молоко ультрапастеризоване молоко для дітей від 3 років,наше,для дітей від років,Молоко Молоко ультрапастеризоване для дітей від 3-х років,48.0,1.0,1,49.0
